SIC group,Section letter,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19.1,C,Manufacture of coke oven products,"3,337.7","2,868.6","2,558.4","2,368.4","2,284.7","2,195.7","2,243.6","2,354.9","2,098.6","2,072.6","2,066.9","1,584.3","1,290.3","1,177.4","1,028.3",997.3,"1,282.5","1,500.0","1,543.1","1,367.4","1,494.3","1,419.0","1,307.6","1,439.4","1,505.6","1,368.3","1,117.0","1,048.4","1,052.1",897.2,844.6,795.3
19.2,C,Manufacture of refined petroleum products,"18,249.4","19,015.5","19,432.1","20,362.6","19,884.2","20,623.9","21,059.2","20,933.6","20,453.5","18,525.4","17,744.6","17,544.3","19,670.6","19,096.3","18,796.7","20,334.5","18,461.7","18,272.5","17,684.9","16,616.0","17,365.1","17,752.5","16,129.5","14,992.8","13,819.2","13,856.8","13,957.6","13,920.8","13,416.4","12,995.3","11,435.9","11,451.1"
20.11 + 20.13,C,Manufacture of industrial gases and non-nitrogen-based inorganic chemicals,"2,202.1","2,112.2","2,439.7","2,934.4","3,447.6","3,587.4","2,997.9","2,943.8","2,505.0","1,892.2","3,576.2","2,845.1","2,294.9","2,634.4","2,345.4","3,031.6","2,991.5","3,027.3","3,099.0","2,562.1","2,651.9","2,460.0","2,277.0","2,261.0","1,939.7","1,829.7","1,914.4","2,009.0","1,963.4","2,066.8","1,985.9","1,837.2"
20.15 /1,C,Fertilisers,596.7,602.2,616.0,621.2,618.7,691.4,693.9,524.3,614.7,692.0,747.5,778.8,813.8,772.6,654.2,721.1,555.4,746.2,755.4,563.5,641.0,537.2,740.2,638.5,635.7,668.1,613.5,740.6,578.6,646.8,697.2,530.5
20.15 /2,C,Other nitrogen compounds,"4,840.5","4,873.7","5,040.0","5,059.0","3,978.6","4,069.8","4,109.3","3,568.5","4,420.3","5,862.3","5,062.5","4,942.0","4,109.2","4,034.4","4,147.7","3,615.0","2,711.4","2,940.9","2,559.7","1,994.9","2,310.8","1,082.2","1,156.3","1,014.9","1,003.3","1,024.9",992.0,"1,187.9",911.8,"1,022.3","1,159.4",753.4
20.14+20.16+20.17+20.6,C,Manufacture of petrochemicals,"42,230.7","43,312.8","39,792.0","37,613.1","39,417.1","38,300.0","39,251.0","40,461.0","35,701.1","19,281.0","16,448.7","13,790.3","13,298.0","12,759.4","12,247.1","10,118.4","9,951.3","10,091.6","9,302.3","7,927.0","7,932.8","7,749.2","7,280.4","6,884.6","5,861.3","5,955.2","6,111.4","6,387.6","6,035.9","5,937.7","5,997.1","4,748.5"
20.12+20.2,C,"Manufacture of dyestuffs, agro-chemicals","1,689.6","1,532.2","1,735.9","1,983.2","1,995.5","1,902.0","1,572.1","1,738.1","2,048.5","1,282.4","1,825.4","2,448.4","2,038.1","1,736.6","1,692.3","1,832.2","1,587.4","1,568.7","1,432.9","1,080.2","1,063.7",952.6,940.9,984.7,921.9,924.7,940.5,989.1,977.1,998.5,"1,008.2",958.2
20.3,C,"Manufacture of paints, varnishes & ink",393.1,365.7,405.3,503.4,533.3,445.9,315.8,234.9,233.3,229.0,159.6,406.2,276.2,259.3,273.6,229.8,253.6,248.8,240.8,208.2,222.1,194.9,177.8,180.7,168.2,161.6,173.4,175.1,174.5,178.0,176.1,168.6
20.4,C,Manufacture of cleaning & toilet preparations,590.6,420.6,385.3,460.2,450.1,393.3,354.1,341.6,339.7,329.9,457.4,344.3,342.4,974.9,798.6,"1,043.8","1,041.6",896.8,681.9,357.6,365.4,327.0,316.7,323.8,303.4,300.2,304.2,318.5,313.7,333.7,335.5,314.8
20.5,C,Manufacture of other chemical products,908.9,888.6,972.2,"1,267.2","1,320.2","1,290.2","1,113.4","1,189.3",941.2,"1,028.0",709.4,"1,101.7",689.5,764.9,581.9,765.0,701.5,672.2,668.5,603.0,610.3,544.4,544.4,563.8,509.3,492.8,541.7,549.2,546.2,572.1,595.7,546.5
