SIC group,Section letter,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49.31/1,H,"Underground, metro other non interurban rail services",511.6,492.3,504.4,516.5,545.2,561.7,594.7,576.6,587.3,577.5,508.6,512.6,415.7,72.4,59.8,50.7,47.0,45.5,37.6,31.4,31.3,28.3,27.6,23.4,23.0,22.3,22.9,21.8,21.5,19.9,17.0,19.1
49.32,H,Taxis and other renting of private cars with driver,"1,580.9","1,695.7","1,802.7","1,838.6","1,890.8","1,906.7","1,985.6","2,060.9","2,131.1","2,189.4","2,253.1","2,282.8","2,331.1","2,361.4","2,387.9","2,447.2","2,523.8","2,629.6","2,743.4","2,833.9","2,892.2","2,901.2","2,899.8","2,909.6","3,025.0","3,122.4","3,320.6","3,520.9","3,602.0","3,695.3","2,937.6","3,157.0"
49.4,H,Freight transport by road and removal services,"13,946.8","13,446.8","13,442.6","13,898.2","14,508.2","14,432.4","15,000.9","15,438.5","15,185.0","15,151.7","14,914.8","14,697.2","14,876.8","14,903.7","15,089.7","14,912.7","14,917.7","15,119.0","13,966.7","12,008.3","12,333.9","12,010.4","11,761.5","11,813.8","12,090.5","12,464.8","12,828.9","12,944.9","13,134.8","12,993.3","12,411.0","13,332.3"
49.5,H,Transport via pipeline,270.6,270.6,270.5,270.7,271.0,271.1,271.1,271.1,270.9,271.0,270.9,270.4,270.1,270.0,278.2,263.0,260.7,252.8,247.9,233.3,273.5,268.1,241.4,239.2,216.4,218.7,210.4,214.2,201.9,186.9,177.2,180.5
50,H,Water transport services,"19,493.6","21,225.1","20,531.2","19,530.1","19,780.8","20,565.9","23,577.9","30,512.2","32,584.3","28,466.4","28,127.8","32,890.6","30,200.3","29,038.4","28,819.9","27,278.3","17,390.6","20,444.0","18,166.7","15,584.6","16,345.8","18,747.0","16,705.4","13,976.5","18,388.9","19,548.1","21,903.3","12,795.2","15,332.2","17,193.8","21,876.3","14,573.9"
51,H,Air transport services,"20,409.2","19,349.7","21,092.5","22,899.6","22,883.4","24,796.6","26,586.3","28,180.0","31,542.8","34,001.5","37,516.2","36,883.9","36,051.0","37,299.3","39,521.2","42,889.9","43,589.2","44,109.5","43,663.3","41,486.4","40,365.6","42,392.1","40,908.4","40,651.5","40,644.2","41,083.2","40,757.8","43,392.7","45,573.4","42,467.1","17,027.3","16,871.2"
52,H,Warehousing and support services for transportation,"1,596.6","1,576.9","1,493.1","1,539.7","1,481.2","1,488.6","1,473.2","1,376.4","1,261.6","1,255.4","1,304.1","1,323.2","1,337.1","1,403.7","1,510.5","1,579.7","1,737.5","1,789.3","1,840.3","1,704.0","1,709.3","1,761.2","1,825.2","1,803.5","1,852.0","1,867.6","2,011.6","2,037.4","2,042.3","2,014.9","1,411.6","1,490.8"
53,H,Postal and courier services,"1,149.9","1,176.2","1,174.9","1,199.6","1,243.6","1,250.7","1,280.1","1,282.9","1,290.1","1,308.3","1,302.4","1,277.5","1,257.1","1,281.3","1,279.9","1,378.6","1,297.5","1,336.2","1,527.5","1,458.4","1,656.0","1,613.9","1,618.3","1,619.7","1,651.5","1,709.3","1,789.5","1,792.9","1,802.1","1,792.0","1,643.4","1,809.9"
55,I,Accommodation services,970.4,"1,108.5","1,027.3","1,094.3","1,086.0","1,120.4","1,181.1","1,062.7","1,123.6","1,169.9","1,187.2","1,192.4","1,038.2","1,101.2","1,073.8","1,054.8",978.9,941.6,"1,121.9",912.2,974.0,871.1,973.2,990.4,871.0,952.8,979.7,969.5,959.7,961.5,761.4,747.8
56,I,Food and beverage serving services,"2,168.8","2,441.9","2,243.2","2,381.6","2,367.5","2,440.4","2,561.7","2,299.3","2,418.8","2,522.1","2,575.2","2,612.2","2,299.7","2,477.4","2,454.7","2,487.2","2,360.7","2,336.9","2,859.4","2,397.6","2,578.9","2,350.0","2,625.7","2,689.5","2,399.0","2,663.1","2,728.3","2,712.4","2,681.7","2,662.3","2,351.2","2,700.6"
58,J,Publishing services,170.6,192.6,177.7,185.9,183.0,185.8,193.5,171.5,175.9,178.7,173.7,167.8,141.9,143.0,132.0,121.9,108.2,98.3,105.5,84.1,83.1,72.5,75.8,72.4,65.7,67.4,68.4,66.8,66.4,66.7,55.3,68.2
59,J,"Motion picture, video and television programme production services, sound recording and music publishing",174.7,188.7,184.0,193.3,199.6,207.5,211.1,200.1,206.2,216.7,220.2,213.7,193.0,198.5,192.6,189.4,177.9,175.0,195.0,160.7,166.0,154.9,162.2,155.1,143.3,146.8,150.6,142.8,134.9,134.7,124.9,137.7
60,J,Programming and broadcasting services,25.0,27.7,26.4,28.0,28.5,29.5,30.8,28.6,29.8,31.1,31.5,31.4,28.1,29.0,28.1,27.0,25.1,24.2,25.6,20.6,21.3,19.7,21.3,20.3,19.1,19.6,20.4,19.7,19.6,19.3,17.2,19.5
61,J,Telecommunications services,528.2,542.6,533.4,545.1,564.8,574.7,558.3,536.9,529.8,540.8,533.0,490.2,452.0,443.2,422.2,421.0,396.3,396.4,419.4,368.3,378.6,364.9,360.0,336.9,327.1,326.7,333.5,312.8,291.2,288.5,220.6,249.7
62,J,"Computer programming, consultancy and related services",273.4,291.6,291.3,309.3,329.4,347.2,352.5,346.2,357.5,379.1,390.0,382.8,362.6,375.6,373.4,376.1,368.5,372.9,397.8,342.0,348.6,336.6,339.8,324.8,313.1,313.9,324.5,311.3,294.2,291.7,251.2,260.2
63,J,Information services,27.4,29.5,29.0,31.6,31.1,31.5,33.4,30.8,31.9,33.4,34.3,35.0,31.8,34.0,34.1,34.6,34.2,34.3,39.9,33.2,35.3,32.8,35.6,35.2,32.8,34.3,34.4,33.8,33.1,32.9,29.3,35.9
64,K,"Financial services, except insurance and pension funding",155.9,161.0,143.1,148.4,136.7,134.3,130.7,105.9,96.0,94.3,89.6,94.9,83.6,90.1,88.6,87.3,85.4,85.2,97.9,83.6,86.1,82.6,86.2,86.3,79.6,78.1,76.8,73.5,70.8,69.2,60.5,59.5
65.1-2,K,Insurance & Reinsurance,26.7,30.6,29.1,30.9,31.5,32.9,34.3,31.6,33.6,35.8,36.6,36.4,33.2,35.7,34.6,33.9,32.5,32.2,36.5,30.0,32.1,29.9,32.2,31.9,28.8,29.8,30.5,29.0,29.2,29.0,26.9,26.1
65.3,K,Pension funding,0.3,0.4,0.4,0.4,0.6,0.9,1.2,1.4,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6
66,K,Services auxiliary to financial services and insurance services,162.1,181.7,174.9,184.1,189.2,196.9,202.3,188.4,197.6,209.2,211.8,204.6,183.0,190.4,184.2,178.1,166.8,168.1,191.4,162.1,169.9,160.6,172.7,168.0,154.9,159.0,164.0,157.9,149.9,150.7,132.6,156.5
68.1-2,L,"Buying and selling of own real estate: renting and operating of own or leased real estate, excluding imputed rent",422.4,489.1,464.3,496.1,506.7,531.1,564.3,520.3,563.5,605.9,622.8,627.8,560.9,609.1,605.7,613.8,587.4,580.7,717.1,601.9,650.4,592.2,666.1,681.1,605.1,644.4,664.4,651.4,639.6,641.8,610.4,617.2
68.3,L,Real estate activities on a fee or contract basis,223.5,232.7,228.5,235.9,243.6,249.9,248.6,240.5,243.7,255.6,261.1,254.2,239.8,252.3,255.9,265.6,267.7,276.5,318.1,280.6,300.6,288.0,313.7,312.5,293.4,308.6,319.8,312.5,305.0,305.6,254.5,287.6
69.1,M,Legal activities,284.4,303.9,291.0,302.9,306.7,313.7,308.9,283.6,282.8,290.8,286.6,269.4,235.3,235.5,221.3,212.7,196.2,188.7,208.4,168.4,172.7,158.5,165.4,161.2,144.2,147.3,150.5,144.3,138.6,137.8,130.2,137.7
69.2,M,"Accounting, bookkeeping and auditing activities: tax consultancy",263.5,285.4,273.0,285.2,287.8,294.1,295.3,269.8,274.5,283.9,280.6,263.9,229.2,229.2,214.1,204.2,185.6,176.4,192.6,155.5,155.8,143.7,147.5,142.6,128.6,133.2,132.9,128.1,122.3,120.6,113.9,120.7
70,M,Services of head offices; management consulting services,599.7,664.7,636.5,669.4,683.7,707.5,718.8,666.6,692.4,729.5,736.8,710.0,635.0,661.4,648.1,653.3,630.4,635.5,755.9,637.8,681.7,640.5,694.5,688.9,634.0,657.0,674.7,646.3,615.1,611.1,514.8,573.5
71,M,Architectural and engineering services; technical testing and analysis services,579.5,609.3,593.7,615.7,628.1,642.5,641.0,613.8,622.6,646.4,656.8,635.4,593.1,607.0,606.9,602.7,595.9,602.7,630.4,525.5,541.5,512.1,525.9,488.0,468.1,477.5,486.9,461.9,444.9,436.1,351.8,377.1
72,M,Scientific research and development services,486.4,523.9,506.7,301.4,301.4,309.7,325.1,295.2,310.5,323.6,323.4,317.2,276.5,287.3,275.7,262.7,241.3,231.2,270.1,222.1,236.6,211.7,235.1,240.8,216.1,233.3,242.9,243.7,243.6,245.9,222.1,255.8
73,M,Advertising and market research services,135.3,142.4,140.1,146.1,152.9,159.0,157.2,150.2,150.6,157.3,158.6,149.6,136.5,136.6,131.4,129.3,123.6,123.5,131.1,109.9,111.7,108.8,109.5,101.5,97.0,97.1,98.8,91.0,82.6,81.9,50.9,68.7
74,M,"Other professional, scientific and technical services",160.6,175.0,169.9,179.2,187.8,197.7,200.6,189.7,194.6,206.4,210.5,205.0,186.3,193.4,189.0,188.5,182.3,181.1,206.7,169.8,175.6,167.2,173.1,163.8,154.0,154.0,159.8,147.3,137.8,135.9,104.2,117.7
75,M,Veterinary services,59.3,63.2,61.7,64.2,66.0,68.7,69.4,66.5,68.8,71.4,71.4,68.8,63.5,65.4,64.2,65.6,62.8,64.3,68.1,61.1,63.2,60.9,64.0,63.7,61.4,64.1,66.4,66.4,65.7,64.2,61.1,58.3
77,N,Rental and leasing services,"1,115.0","1,129.9","1,136.2","1,152.5","1,196.8","1,204.3","1,225.8","1,246.4","1,253.2","1,261.7","1,268.6","1,252.0","1,239.6","1,258.7","1,268.4","1,347.4","1,379.4","1,399.6","1,312.0","1,178.1","1,169.2","1,134.7","1,138.8","1,106.1","1,125.5","1,159.8","1,211.8","1,203.6","1,202.4","1,184.4","1,066.9","1,163.5"
78,N,Employment services,306.8,317.3,306.3,316.8,327.8,334.9,330.6,308.3,295.1,294.1,284.6,270.1,241.8,240.2,230.5,224.3,214.1,211.4,229.1,193.6,198.9,190.8,201.0,197.7,190.1,192.1,196.0,194.8,185.1,180.5,158.6,178.3
79,N,"Travel agency, tour operator and other reservation services and related services",128.1,134.1,129.7,133.4,136.5,138.8,138.9,132.8,133.2,136.7,137.4,134.0,126.7,131.4,132.8,136.1,137.8,145.6,155.7,141.1,148.9,150.3,156.4,148.4,150.0,155.1,164.5,161.4,159.7,162.6,136.7,149.3
80,N,Security and investigation services,169.4,181.1,180.2,189.2,196.3,201.6,207.5,203.0,206.5,213.6,215.0,211.5,201.6,206.8,203.6,201.2,196.4,193.6,200.6,172.4,173.9,165.0,164.4,157.4,152.3,153.0,157.7,151.8,147.5,145.0,122.3,130.5
81,N,Services to buildings and landscape,846.9,898.9,877.4,913.2,922.3,937.5,961.1,924.7,944.6,965.3,977.0,975.4,923.7,958.9,964.4,965.2,960.2,971.8,"1,045.0",929.2,977.8,943.9,991.3,972.7,950.4,983.3,"1,016.0","1,000.4",989.3,981.1,883.1,966.7
82,N,"Office administrative, office support and other business support services",368.8,399.3,394.4,414.2,437.6,458.1,476.1,467.6,487.2,517.0,534.1,540.4,519.3,557.5,569.8,591.3,596.2,617.5,706.9,620.3,667.6,648.8,694.5,696.4,676.7,712.4,751.2,742.0,729.0,738.7,639.5,690.0
84 (not 84.22),O,Public administration; compulsory social security services,"6,093.5","6,342.0","6,654.4","6,803.5","6,350.8","6,394.8","6,339.0","5,990.5","6,136.1","6,283.5","6,124.5","6,209.3","5,950.5","5,878.6","6,170.8","5,321.5","4,738.5","4,395.0","4,180.2","3,815.2","3,859.3","3,464.5","3,615.2","3,285.7","2,972.1","2,981.6","3,001.9","2,903.8","2,947.5","2,832.2","2,364.8","2,723.4"
84.22,O,Public defence services,"6,282.3","5,331.2","5,171.6","5,214.0","5,026.7","4,990.7","4,836.2","4,700.0","4,077.4","4,003.1","3,928.1","3,664.9","3,722.4","3,722.8","3,578.9","3,309.5","3,858.2","4,118.6","3,590.4","3,239.9","3,181.7","2,995.5","2,755.2","2,500.6","2,197.4","1,825.9","1,711.5","1,750.6","1,774.5","1,800.3","1,503.6","1,717.7"
85,P,Education services,"6,393.0","6,714.7","6,845.3","5,948.6","5,427.6","5,135.8","6,287.7","6,857.2","6,013.3","5,649.8","5,218.7","4,829.9","4,186.2","3,942.7","3,888.9","3,965.9","4,083.6","3,730.6","3,384.7","3,147.2","3,387.9","2,772.1","3,074.0","3,008.9","2,608.0","2,829.6","2,778.6","2,872.4","2,742.0","2,468.7","2,059.9","2,328.5"
86,Q,Human health services,"4,640.4","4,842.5","5,044.7","4,925.5","5,026.0","5,017.1","5,303.5","4,157.0","4,352.5","4,129.7","3,756.8","3,960.6","3,508.1","3,185.2","3,707.2","4,413.9","3,553.7","3,557.6","3,984.6","3,979.2","4,281.1","3,877.6","4,173.8","4,578.6","4,139.2","3,903.2","4,042.4","3,763.7","3,847.7","3,681.0","4,141.0","4,542.8"
87,Q,Residential care services,"1,008.1","1,072.0","1,181.0","1,097.2","1,075.0",982.4,"1,127.7","1,219.1","1,141.3","1,030.5",837.3,879.6,574.4,432.7,456.6,622.8,567.8,558.6,541.6,474.2,503.3,468.8,586.8,620.1,539.0,618.2,649.7,669.8,693.7,669.1,450.5,511.7
88,Q,Social work services without accommodation,503.0,556.6,602.7,486.8,486.7,497.9,611.6,865.2,790.6,731.5,615.7,686.5,466.9,400.8,452.8,615.5,613.1,589.6,588.4,571.8,575.1,514.5,666.6,715.8,611.6,715.2,751.9,776.2,802.5,775.6,517.8,589.8
90,R,"Creative, arts and entertainment services",260.9,272.0,241.9,263.1,267.1,268.3,278.4,243.9,234.0,206.7,198.3,269.3,220.3,219.1,216.8,216.0,163.1,150.3,168.0,152.3,136.9,125.7,126.5,121.6,113.1,107.6,109.4,103.9,99.3,98.7,72.1,83.0
91,R,"Library, archive, museum and other cultural services",192.3,192.6,168.8,172.7,157.9,153.1,151.9,135.5,108.9,92.3,87.0,88.0,80.0,81.4,79.9,82.7,65.5,59.3,63.2,52.6,52.0,46.0,47.6,46.5,42.9,41.1,42.4,41.2,40.9,40.6,32.9,38.9
92,R,Gambling and betting services,265.9,278.6,250.6,259.4,243.5,238.9,241.1,216.4,202.5,193.6,189.4,184.0,159.7,161.7,152.4,150.0,124.1,113.2,122.9,97.6,96.9,85.1,87.9,85.3,76.0,74.8,75.7,73.1,70.8,69.7,60.3,61.6
93,R,Sporting services and amusement and recreation services,"1,078.6","1,142.3","1,051.6","1,098.3","1,070.8","1,077.5","1,121.8","1,033.1","1,004.9",990.9,996.1,"1,004.8",922.8,964.8,955.8,968.4,878.6,844.9,932.7,805.0,823.3,757.0,806.9,805.8,746.9,787.7,808.3,803.9,796.7,793.5,714.7,771.2
94,S,Services furnished by membership organisations,493.9,532.7,497.6,530.7,506.0,517.4,544.6,478.4,449.4,430.9,438.8,430.7,373.2,386.8,367.0,367.4,309.4,288.8,344.8,277.4,291.0,256.1,282.3,287.7,250.7,283.4,282.8,279.1,280.9,273.7,264.9,257.1
95,S,Repair services of computers and personal and household goods,94.0,94.7,92.3,94.2,97.6,99.0,99.8,97.8,96.1,97.5,96.4,91.8,87.4,86.4,83.6,80.2,77.5,75.0,74.2,76.4,70.1,67.2,66.2,65.4,64.9,66.9,69.6,68.3,68.9,69.2,58.2,65.9
96,S,Other personal services,574.9,624.6,601.4,625.0,638.1,656.4,681.7,639.8,664.3,694.2,701.1,696.3,640.2,673.8,663.6,676.7,702.5,640.6,758.8,648.4,646.5,602.5,641.1,642.7,600.9,628.5,652.4,640.4,626.2,628.1,524.4,594.5
97,T,Services of households as employers of domestic personnel,76.3,75.1,76.8,78.2,81.9,83.4,81.6,84.3,81.0,80.5,97.1,89.3,72.6,60.1,64.6,72.9,65.2,54.5,50.1,37.9,50.4,48.5,47.3,41.9,46.4,42.5,51.6,46.2,47.6,47.7,31.5,40.7
100,NA,Consumer expenditure - not travel,"83,410.2","92,268.3","89,608.9","93,915.5","89,537.7","84,970.8","96,523.9","90,093.7","92,521.5","92,217.8","92,871.2","95,107.2","91,673.1","92,275.9","94,098.0","90,156.5","87,864.6","84,316.5","84,621.1","81,204.5","91,170.7","73,618.0","80,386.9","81,561.1","68,854.3","71,848.4","73,373.6","71,490.1","74,206.4","71,396.1","71,116.9","75,897.8"
101,NA,Consumer expenditure - travel,"60,483.5","60,090.9","61,067.5","61,511.2","60,672.5","59,737.3","63,246.5","63,754.7","63,825.2","64,877.2","64,465.3","65,821.1","68,348.0","67,750.3","68,817.7","69,188.2","69,230.1","69,318.3","68,696.5","67,888.5","66,333.2","65,563.4","65,678.2","66,586.4","67,147.2","68,128.0","69,048.5","69,899.8","69,967.7","69,521.9","54,035.8","58,864.2"
